Building,BARA?,Floor,Description,Geocoding,Address
Russell Hall,Yes,2,"Common restrooms outside lecture hall, lecture hall lobby, front stairwell, east and west hallways between fire doors and including stairwells, front common restrooms","33.209537, -87.542371","Russell Hall, Tuscaloosa, AL 35401, USA"
Russell Hall,Yes,3,North common restrooms,"33.209537, -87.542371","Russell Hall, Tuscaloosa, AL 35401, USA"
School of Medicine,Yes,1,"Hallway from room H105A to room D103, hallway from room H102 to room E106, interior stairwell, room B111, room B114, room B116, room B117","33.207755, -87.531226",
School of Medicine,Yes,2,Hallway between room D201 and stairwell including stairwell,"33.207755, -87.531226",
Science and Engineering Complex,Yes,1,"Common restrooms outside room 1301, hallway between rooms 1306 and 1346, hallway and stairwell between room 1314 and room 1318","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Science and Engineering Complex,Yes,2,"Common restrooms outside room 2303, hallway between rooms 2317 and 2324, hallway between room 2306 and room 2336, hallway and stairwell between room 2308 and room 2315","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Science and Engineering Complex,Yes,3,"Common restrooms outside room 3302, hallway between rooms 3306 and 3333, hallway between room 3313 and room 3318, hallway and stairwell between room 3306 and room 3311","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Sewell-Thomas Stadium,Yes,1,Interior corridor,"33.205493, -87.538820",
Shelby Hall,Yes,1,Interior hall except at exits,"33.215044, -87.542328","Interdisciplinary Science Building - Shelby Hall, Tuscaloosa, AL 35401, USA"
Smith Hall,Yes,1,Interior halls,"33.21187, -87.54382","Smith Hall, 427 6th Avenue Northeast, Tuscaloosa, AL 35404, USA"
Smith Woods (all buildings),Yes,1,Bedroom hallway,,
Softball Club House,Yes,1,"Room 101, room 104, room 105","33.214091, -87.530663",
Somerville Hall,Yes,1,East and west hallways,"33.217057, -87.547176","Somerville Hall, Tuscaloosa, AL 35401, USA"
South Engineering Research Center,Yes,1,"Room 1013, room 1059, common restrooms","33.214276, -87.543914","South Engineering Research Center, Shelby Lane, Tuscaloosa, AL 35401, USA"
South Lawn Office Building,Yes,1,Interior offices and common restrooms,"33.204112, -87.532701","South Lawn Office Building, Tuscaloosa, AL 35401, USA"
Stadium Drive Parking Deck,Yes,1,Southeast quarter,"33.212320, -87.550204",
Stallings Center,Yes,1,Hallway between room 115 and room 121 except at main hall crossing,"33.208219, -87.529229","Stallings Center, Tuscaloosa, AL 35404, USA"
Student Media Building,Yes,1,"Room 1018, common restrooms, hall between room 1022 and room 1028","33.215417, -87.534515",
Student Recreation Center,Yes,1,"Locker rooms, room 155, room 156, hallway outside room 154","33.212474, -87.531704","Student Recreation Center, Tuscaloosa, AL 35401, USA"
Student Services Center,Yes,1,"Room 106C, room 106E, room 106F, room 106J, room 106K, room 105H, room 105J, room 105T, room 103C, room 103D, room 103E, common restrooms","33.21449, -87.546894","Student Services Center, Tuscaloosa, AL 35401, USA"
Temple Tutwiler Hall,Yes,1,Common restrooms,"33.209052, -87.548878","Temple Tutwiler Hall, Tuscaloosa, AL 35401, USA"
Ten Hoor Hall,Yes,B,Center hallway,"33.212902, -87.549279","ten Hoor Hall, Marrs Spring Road, Tuscaloosa, AL 35401, USA"
University Club,Yes,1,"Room 104, room 105, hallway between room 106 and room 108 including common restroom","33.212396, -87.559827","The University Club, 421 Queen City Avenue, Tuscaloosa, AL 35401, USA"
Theater and Dance,Yes,1,Hallway around room 117,"33.213019, -87.548375","University of Alabama Theatre and Dance, Tuscaloosa, AL 35487, USA"
Tuomey Hall,Yes,1,"Common restroom, hallway outside room 102, hallway outside room 103","33.211649, -87.544913",
Tutwiler Hall,Yes,1,"Hallway outside room 140 and to room 128, common restrooms outside room 140; 2-4fl interior hallways and common restrooms except center common area","33.205676, -87.548328","Tutwiler Hall, Tuscaloosa, AL 35401, USA"
UAPD Main Building/ UPC,Yes,1,Area near the holding cells,"33.203108, -87.533653",
Weclome Center--Bryant Denny St,Yes,1,Storage closet at south wall; Public restrooms in common area near south entrance,"33.196482, -87.506055","Denny Street, Tuscaloosa, AL 35404, USA"
Woods Hall,Yes,1,Common restroom,"33.21328, -87.545762","Woods Hall, Tuscaloosa, AL 35401, USA"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Magnolia Drive Parking Deck,Yes,,This BARA is located on the West side of the lowest level of the parking deck.,"33.207263, -87.546507","624 Paul W Bryant Dr Tuscaloosa, AL 35401
"
